ID,addr_o
45263552000_file6,"Москва, Улица Краснобогатырская, 27"
45263552000_file6,"Москва, Улица Краснобогатырская, 29 (к. 1, 2)"
45263552000_file6,"Москва, Улица Краснобогатырская, 75 (к, 1, 2)"
45263552000_file6,"Москва, Улица Краснобогатырская, 31 (к. 1, 2)"
45263552000_file6,"Москва, Улица Краснобогатырская, 38"
45263552000_file6,"Москва, Улица Краснобогатырская, 2"
45263552000_file6,"Москва, Улица Краснобогатырская, 42"
45263552000_file6,"Москва, Улица Краснобогатырская, 44"
45263552000_file6,"Москва, Улица 2-я Прогонная, 7"
45263552000_file6,"Москва, Улица 2-я Прогонная, 10"
45263552000_file6,"Москва, Улица 2-я Прогонная, 7"
45263552000_file6,"Москва, Улица 2-я Прогонная, 1"
45263552000_file6,"Москва, Улица 1-я Гражданская, 94"
45263552000_file6,"Москва, Улица 1-я Гражданская, 96"
45263552000_file6,"Москва, Улица 3-я Гражданская, 52"
45263552000_file7,"Москва, Улица Токарная, 12"
45263552000_file7,"Москва, Улица Погонный пр-д, 2"
45263552000_file7,"Москва, Улица Погонный пр-д, 4"
45263552000_file7,"Москва, Улица Погонный пр-д, 6"
45263552000_file7,"Москва, Улица Погонный пр-д, 8"
45263552000_file7,"Москва, Улица Наримановская, 13"
45263552000_file7,"Москва, Улица Наримановская, 15"
45263552000_file7,"Москва, Улица Наримановская, 17"
45263552000_file7,"Москва, Улица Наримановская, 19"
45263552000_file7,"Москва, Улица Наримановская, 21"
45263552000_file7,"Москва, Улица 1-я Мясниковская, 2"
45263552000_file7,"Москва, Улица 1-я Мясниковская, 8"
45263552000_file7,"Москва, Улица 1-я Мясниковская, 10"
45263552000_file7,"Москва, Улица 1-я Мясниковская, 14"
45263552000_file7,"Москва, Улица 1-я Мясниковская, 14"
45263552000_file7,"Москва, Улица 2-я Мясниковская, 2"
45263552000_file7,"Москва, Улица 2-я Мясниковская, 5"
45263552000_file7,"Москва, Улица 2-я Мясниковская, 7"
45263552000_file7,"Москва, Улица 2-я Мясниковская, 10"
45263552000_file7,"Москва, Улица Краснобогатырская, 6"
45263552000_file7,"Москва, Улица Краснобогатырская, 10"
45263552000_file7,"Москва, Улица Краснобогатырская, 19"
45263552000_file7,"Москва, Улица Краснобогатырская, 3"
45263552000_file7,"Москва, Улица Краснобогатырская, 21"
45263552000_file7,"Москва, Улица Краснобогатырская, 28"
45263552000_file7,"Москва, Улица Миллионная, 13 (к. 1, 2)"
